Date,Open,High,Low,Close,Volume
4/14/2023 16:00:00,4.25,4.3,4.2,4.26,122846
4/17/2023 16:00:00,4.23,4.46,4.23,4.39,331721
4/18/2023 16:00:00,4.46,4.46,4.25,4.3,275376
4/19/2023 16:00:00,4.22,4.29,4.17,4.19,123350
4/20/2023 16:00:00,4.11,4.26,4.07,4.16,206920
4/21/2023 16:00:00,4.14,4.24,4.13,4.17,203258
4/24/2023 16:00:00,4.11,4.16,4.02,4.14,323629
4/25/2023 16:00:00,4.08,4.11,4.03,4.09,248441
4/26/2023 16:00:00,4.01,4.12,3.96,4.06,342957
4/27/2023 16:00:00,4.06,4.15,4.04,4.14,201388
4/28/2023 16:00:00,4.08,4.13,4,4.08,551361
5/1/2023 16:00:00,4.13,4.2,4.07,4.12,226558
5/2/2023 16:00:00,4.07,4.11,3.94,4.02,279665
5/3/2023 16:00:00,4.08,4.11,3.94,3.97,272104
5/4/2023 16:00:00,3.94,4.03,3.84,3.84,396293
5/5/2023 16:00:00,3.93,3.99,3.9,3.98,165640
5/8/2023 16:00:00,4.01,4.04,3.91,3.96,124519
5/9/2023 16:00:00,3.94,3.94,3.83,3.89,175888
5/10/2023 16:00:00,3.91,3.94,3.88,3.89,130173
5/11/2023 16:00:00,3.85,3.88,3.8,3.83,220599
5/12/2023 16:00:00,3.83,3.92,3.75,3.8,289152
5/15/2023 16:00:00,3.8,3.93,3.79,3.87,282420
5/16/2023 16:00:00,3.8,3.86,3.71,3.71,190919
5/17/2023 16:00:00,3.71,3.78,3.64,3.69,632024
5/18/2023 16:00:00,3.66,3.68,3.48,3.5,469345
5/19/2023 16:00:00,3.51,3.61,3.5,3.51,510792
5/22/2023 16:00:00,3.52,3.71,3.47,3.64,793538
5/23/2023 16:00:00,3.72,3.77,3.63,3.68,358401
5/24/2023 16:00:00,3.65,3.66,3.48,3.53,508370
5/25/2023 16:00:00,3.53,3.55,3.41,3.44,278082
5/26/2023 16:00:00,3.41,3.44,3.36,3.4,371723
5/30/2023 16:00:00,3.44,3.48,3.37,3.4,504941
5/31/2023 16:00:00,3.41,3.47,3.28,3.35,1853884
6/1/2023 16:00:00,3.09,3.59,3.06,3.51,817422
6/2/2023 16:00:00,3.56,3.89,3.53,3.84,855611
6/5/2023 16:00:00,3.86,3.86,3.61,3.63,488041
6/6/2023 16:00:00,3.58,3.75,3.57,3.65,418873
6/7/2023 16:00:00,3.65,3.78,3.62,3.63,317886
6/8/2023 16:00:00,3.65,3.68,3.55,3.64,376225
6/9/2023 16:00:00,3.63,3.82,3.59,3.66,612573
6/12/2023 16:00:00,3.61,3.69,3.5,3.58,1818575
6/13/2023 16:00:00,3.81,4.2,3.79,4.09,2021900
6/14/2023 16:00:00,4.19,4.19,3.85,3.86,1129128
6/15/2023 16:00:00,3.83,3.87,3.71,3.83,1106350
6/16/2023 16:00:00,3.84,3.88,3.7,3.75,5014142
6/20/2023 16:00:00,3.8,3.8,3.7,3.73,461363
6/21/2023 16:00:00,3.71,3.89,3.68,3.82,437874
6/22/2023 16:00:00,3.85,3.88,3.77,3.83,308520
6/23/2023 16:00:00,3.83,3.83,3.64,3.68,590261
6/26/2023 16:00:00,3.71,3.93,3.71,3.8,378587
6/27/2023 16:00:00,3.89,3.99,3.82,3.89,430881
6/28/2023 16:00:00,3.86,3.94,3.8,3.82,343214
6/29/2023 16:00:00,3.81,3.89,3.74,3.79,417585
6/30/2023 16:00:00,3.82,3.84,3.79,3.79,270541
7/3/2023 13:00:00,3.88,4.03,3.86,3.9,264723
7/5/2023 16:00:00,3.9,3.9,3.75,3.75,315820
7/6/2023 16:00:00,3.7,3.72,3.62,3.68,486978
7/7/2023 16:00:00,3.68,3.9,3.68,3.84,317260
7/10/2023 16:00:00,3.8,4.07,3.8,4.04,511288
7/11/2023 16:00:00,4.04,4.11,3.99,4.1,375518
7/12/2023 16:00:00,4.08,4.18,4.05,4.12,491030
7/13/2023 16:00:00,4.18,4.21,4.13,4.18,213050
7/14/2023 16:00:00,4.19,4.22,4.03,4.04,283549
7/17/2023 16:00:00,4.03,4.1,4.02,4.09,252094
7/18/2023 16:00:00,4.1,4.28,4.08,4.18,378879
7/19/2023 16:00:00,4.18,4.21,4.05,4.07,282762
7/20/2023 16:00:00,4.05,4.05,3.85,3.89,420410
7/21/2023 16:00:00,3.92,3.96,3.83,3.84,290776
7/24/2023 16:00:00,3.88,3.91,3.8,3.85,291310
7/25/2023 16:00:00,3.84,3.94,3.84,3.88,252437
7/26/2023 16:00:00,3.85,3.91,3.83,3.84,231987
7/27/2023 16:00:00,3.85,3.89,3.76,3.76,305873
7/28/2023 16:00:00,3.78,3.86,3.77,3.83,292816
7/31/2023 16:00:00,3.93,3.94,3.79,3.85,476378
8/1/2023 16:00:00,3.84,3.84,3.71,3.71,335574
8/2/2023 16:00:00,3.68,3.68,3.46,3.48,689565
8/3/2023 16:00:00,3.51,3.56,3.47,3.47,285950
